NOME,SIMBOLO_NOMEACAO,TITULO_PORTARIA,DATA_PORTARIA,LINK_PORTARIA
rogerio soares de souza,101.2,PORTARIAS DE 28 DE DEZEMBRO DE 2018,02/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=02/01/2019&jornal=529&pagina=35
gabriela matilde daminelli massotti,101.1,"PORTARIA Nº 458, DE 19 DE DEZEMBRO DE 2018",02/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=02/01/2019&jornal=529&pagina=6
neuta caroline alves dias,101.4,"PORTARIA Nº 4.439, DE 31 DE DEZEMBRO DE 2018",02/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=02/01/2019&jornal=529&pagina=31
patricia gabriela paim moraes,101.4,"PORTARIA Nº 4.450, DE 31 DE DEZEMBRO DE 2018",02/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=02/01/2019&jornal=529&pagina=32
magali romero sa,102.1,Portarias de  2 de janeiro de 2019,03/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=03/01/2019&jornal=529&pagina=45
marcelle sekiya,101.2,PORTARIAS DE 28 DE DEZEMBRO DE 2018,03/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=03/01/2019&jornal=529&pagina=4
caue gonçalves santana,101.1,PORTARIAS DE 28 DE DEZEMBRO DE 2018,03/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=03/01/2019&jornal=529&pagina=4
flávio eduardo nogueira da silva,101.1,PORTARIAS DE 28 DE DEZEMBRO DE 2018,03/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=03/01/2019&jornal=529&pagina=4
jessica rogeria andrade assis,101.1,PORTARIAS DE 28 DE DEZEMBRO DE 2018,03/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=03/01/2019&jornal=529&pagina=4
júlio alexandre menezes da silva,102.4,"PORTARIA Nº  1, DE  3 DE JANEIRO DE 2019",04/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=04/01/2019&jornal=529&pagina=5
roberto rodrigues loiola,102.4,PORTARIAS DE 3 DE JANEIRO DE 2019,04/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=04/01/2019&jornal=529&pagina=26
cristiano hauck civitarese,102.4,PORTARIAS DE 3 DE JANEIRO DE 2019,04/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=04/01/2019&jornal=529&pagina=26
nauana simões machado,102.4,PORTARIAS DE  3 DE JANEIRO DE 2019,04/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=04/01/2019&jornal=529&pagina=26
carlos vinícius brito reis,102.4,PORTARIAS DE  3 DE JANEIRO DE 2019,04/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=04/01/2019&jornal=529&pagina=26
felipe fernandes queiroz,102.4,PORTARIAS DE  3 DE JANEIRO DE 2019,04/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=04/01/2019&jornal=529&pagina=26
uraí grilo rosa,101.2,"PORTARIA Nº 2, DE 3 DE JANEIRO DE 2019",07/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=07/01/2019&jornal=529&pagina=11
leonel lacerda alves,101.1,PORTARIAS DE 4 DE JANEIRO DE 2019,07/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=07/01/2019&jornal=529&pagina=11
wagner carvalho santos lima,102.1,"PORTARIA Nº 40/CISET-MD, DE 4 DE JANEIRO DE 2019",07/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=07/01/2019&jornal=529&pagina=7
ricardo mendes de lima,102.4,PORTARIAS DE 3 DE JANEIRO DE 2019,07/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=07/01/2019&jornal=529&pagina=8
jeanne kettlin alves marques de medeiros,101.4,PORTARIAS DE 3 DE JANEIRO DE 2019,07/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=07/01/2019&jornal=529&pagina=8
luciano brisqui,102.4,PORTARIAS DE  4 DE JANEIRO DE 2019,07/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=07/01/2019&jornal=529&pagina=34
carlos alfredo sitta fortini,102.3,"PORTARIA Nº 10, DE 4 DE JANEIRO DE 2019",07/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=07/01/2019&jornal=529&pagina=21
josuel lemos de barros,101.2,"PORTARIA Nº 6, DE 3 DE JANEIRO DE 2019",07/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=07/01/2019&jornal=529&pagina=19
